time,ax,ay,az,atotal,Resultante
3.326255083,0.64,-11.73,-2.48,12,0.264196896
3.333474159,0.72,-11.7,-2.73,12.03,0.484664833
3.343352079,0.78,-11.22,-2.7,11.56,1.955965235
3.353800058,0.73,-9.59,-1.62,9.75,5.113795068
3.36343503,0.96,-5.85,1.86,6.21,5.456665649
3.373164177,1.32,-1.55,5.2,5.58,3.010066444
3.399719,1.21,1.45,5.42,5.73,3.768965375
3.401004076,0.6,2.68,1.91,3.34,4.796258959
3.402604103,0.42,3.39,-2.83,4.43,2.988929574
3.412523985,0.14,4.31,-5.66,7.11,0.997296345
3.423228025,-0.25,5.15,-6.03,7.93,3.143421703
3.432766914,-0.26,7.26,-3.7,8.15,4.213537706
3.443179131,-0.59,10.19,-0.69,10.23,2.841284921
3.453388214,-1.19,12.67,0.56,12.73,1.334316304
3.463618994,-1.13,13.85,-0.06,13.89,0.971287805
3.47461009,-0.64,14.28,-0.78,14.31,1.84921605
3.498234987,-0.5,12.88,-1.98,13.04,2.239709803
3.499825954,0.05,10.71,-2.05,10.9,2.916024691
3.502337933,0.87,7.93,-1.73,8.16,2.843255177
3.51206398,1,5.09,-1.77,5.48,2.235732542
3.522886038,0.03,3.09,-2.01,3.68,1.555827754
3.533097029,-1.34,2.4,-1.75,3.25,0.902773504
3.542632103,-2.03,2.98,-1.7,3.98,1.841656863
3.552501202,-1.69,4.79,-1.7,5.35,2.829222508
3.562879086,-0.54,7.37,-1.54,7.54,2.9247564
3.572687149,0.56,10.08,-1.55,10.21,2.123252222
3.599425077,1.19,12.05,-2.03,12.27,1.44934468
3.600984097,1.33,12.24,-3.46,12.78,1.662377815
3.602091074,1.18,11.11,-4.67,12.1,1.577212731
3.611832142,0.96,9.57,-4.41,10.58,1.783563848
3.622756004,0.73,8.36,-3.12,8.95,1.580822571
3.631953001,0.5,7.42,-1.87,7.66,0.930483745
3.64249301,-0.14,6.81,-1.58,6.99,0.674536878
3.651777029,-0.69,6.72,-1.96,7.03,0.832466216
3.662742138,-0.78,7.32,-2.53,7.78,0.843208159
3.672363997,-1.07,8.02,-2.9,8.59,1.074476617
3.70066309,-1.01,9.05,-2.6,9.47,1.134592438
3.702754021,-0.48,9.97,-2.2,10.22,0.668505797
3.704378128,0.1,10.21,-2.43,10.49,0.561782876
3.711675167,0.42,10.35,-2.87,10.74,0.292745623
3.722661018,0.2,10.42,-3.05,10.85,0.426497362
3.732161999,-0.13,10.15,-3.04,10.59,0.483011387
3.741909981,-0.33,9.73,-2.91,10.16,0.703491293
3.751561165,-0.53,9.08,-2.73,9.49,0.756306816
3.76158905,-0.63,8.34,-2.61,8.76,0.680734897
3.771347046,-0.55,7.75,-2.28,8.09,0.685638389
3.797984123,-0.47,7.16,-1.94,7.43,0.711125868
3.799572945,-0.31,6.51,-1.7,6.73,0.601082357
3.800794125,-0.1,5.97,-1.54,6.16,0.374432905
3.810760975,-0.01,5.61,-1.49,5.8,0.113578167
3.821202993,-0.08,5.53,-1.53,5.73,0.278028775
3.831225872,-0.23,5.75,-1.61,5.97,0.357910603
3.841880083,-0.39,6.06,-1.69,6.3,0.278028775
3.851660013,-0.51,6.31,-1.71,6.55,0.143527001
3.861554146,-0.45,6.42,-1.78,6.67,0.142478068
3.871141911,-0.34,6.33,-1.79,6.58,0.304795013
3.900136948,-0.11,6.17,-1.67,6.39,0.419285106
3.90200901,0,5.91,-1.36,6.06,0.595986577
3.903106213,-0.08,5.39,-1.08,5.49,0.744110207
3.910975933,-0.18,4.7,-0.82,4.77,0.828492607
3.92120409,-0.26,3.9,-0.62,3.95,0.929838696
3.930775166,-0.4,2.99,-0.49,3.05,0.959687449
3.941600084,-0.51,2.04,-0.41,2.14,0.900943949
3.950581074,-0.52,1.14,-0.37,1.3,0.800999376
3.96095705,-0.52,0.34,-0.33,0.7,0.691447757
3.970665932,-0.58,-0.34,-0.44,0.8,0.784346862
3.999588013,-0.68,-1.08,-0.68,1.44,0.858545281
4.001425028,-0.79,-1.91,-0.87,2.24,0.966333276
4.00258112,-0.8,-2.87,-0.98,3.13,0.934398202
4.010151863,-0.65,-3.78,-1.13,3.99,0.190525589
4.013190031,-0.64,-3.77,-1.32,4.04,0.76661594
4.026926041,-0.42,-4.5,-1.4,4.73,0.771103106
4.033378124,-0.13,-5.21,-1.48,5.41,0.738241153
4.044154167,0.07,-5.9,-1.65,6.12,0.677347769
4.053776026,0.21,-6.56,-1.71,6.78,0.742765104
4.063778877,0.39,-7.28,-1.68,7.48,0.68687699
4.074364185,0.58,-7.94,-1.69,8.13,0.592368129
4.09678793,0.57,-8.52,-1.81,8.72,0.688258672
4.098412037,0.41,-9.17,-1.97,9.38,0.488876262
4.102902889,0.27,-9.62,-2.1,9.85,0.09
4.113315105,0.26,-9.66,-2.18,9.9,0.206155281
4.123535156,0.21,-9.5,-2.06,9.72,0.34190642
4.133688927,0.24,-9.28,-1.8,9.45,0.547448628
4.143507004,0.47,-8.9,-1.48,9.03,0.4982971
4.153326988,0.6,-8.55,-1.15,8.64,0.300333148
4.163872004,0.65,-8.26,-1.09,8.35,0.542862782
4.174417973,0.76,-8.11,-1.6,8.3,0.505470078
4.19443202,0.65,-7.64,-1.75,7.86,0.869770085
4.196002007,0.65,-6.81,-1.49,7,1.13079618
4.202446938,0.74,-5.76,-1.08,5.9,1.454957044
4.212986946,0.71,-4.38,-0.62,4.48,1.219754074
4.223061085,0.56,-3.2,-0.35,3.26,1.140701539
4.233311176,0.44,-2.08,-0.17,2.13,1.147039668
4.243349075,0.36,-0.95,0.01,1.01,0.926390846
4.252948046,0.3,-0.06,0.26,0.4,0.607371386
4.263436079,0.22,0.53,0.38,0.68,0.461085675
4.273143053,0.11,0.94,0.56,1.09,0.222261108
4.295905113,-0.06,1.07,0.62,1.23,0.432319326
4.297703981,-0.19,0.69,0.46,0.85,0.564446632
4.302299023,-0.15,0.16,0.27,0.34,0.413400532
4.312376976,0.03,-0.16,0.46,0.48,0.31591138
4.322633028,0.13,-0.43,0.59,0.74,0.413400532
4.332407951,0.01,-0.8,0.45,0.91,0.178325545
4.343326092,-0.09,-0.93,0.38,1,0.187082869
4.352668047,-0.19,-0.98,0.23,1.02,0.227596134
4.362873077,-0.24,-1.11,0.05,1.13,0.178325545
4.372631073,-0.23,-1.22,-0.09,1.24,0.102956301
4.392960072,-0.14,-1.22,-0.14,1.23,0.192093727
4.394357204,0.02,-1.14,-0.07,1.14,0.167630546
4.401680946,0.12,-1.04,0.02,1.04,0.235372046
4.411805153,0.12,-0.81,0.07,0.82,0.308706981
4.422012091,0.21,-0.55,-0.07,0.59,0.293087018
4.43248415,0.18,-0.28,-0.18,0.37,0.306104557
4.442173004,0.1,-0.01,-0.3,0.31,0.276224546
4.452113152,0.07,0.14,-0.53,0.55,0.139283883
4.46250701,0.06,0.26,-0.6,0.65,0.206155281
4.472435951,0.09,0.3,-0.4,0.5,0.289309523
4.494180202,0.16,0.28,-0.12,0.34,0.142478068
4.495872974,0.17,0.17,-0.03,0.24,0.107703296
4.501180172,0.13,0.07,-0.03,0.15,0.064031242
4.511512995,0.09,0.03,0,0.09,0.072801099
4.521522999,0.05,0.09,0.01,0.1,0.06164414
4.531694889,0.03,0.14,0.04,0.14,0.086023253
4.54193902,0.08,0.21,0.04,0.22,0.076157731
4.551570892,0.11,0.28,0.04,0.3,0.09486833
4.561964989,0.11,0.37,0.01,0.38,0.081853528
4.572404861,0.04,0.4,-0.02,0.4,0.133790882
4.595705032,-0.03,0.37,-0.13,0.39,0.096953597
4.597315073,-0.01,0.34,-0.22,0.4,0.076811457
4.600885868,0.04,0.29,-0.19,0.34,0.183847763
4.611146927,0.12,0.22,-0.04,0.25,0.156843871
4.621500015,0.13,0.08,-0.11,0.18,0.208326667
4.631247997,0.12,-0.09,-0.23,0.27,0.261342687
4.6497159,-0.03,-0.26,-0.1,0.28,0.130766968
4.660130024,-0.02,-0.39,-0.11,0.4,0.084852814
4.669571877,0.06,-0.37,-0.09,0.38,0.194679223
4.698006153,0.09,-0.18,-0.06,0.21,0.141774469
4.699959993,0.05,-0.05,-0.1,0.12,0.076811457
4.701159954,0.04,0.02,-0.13,0.13,0.104880885
