time,ax,ay,az,atotal
1.7536990642547607,-0.05,-0.49,0.7,0.85
1.7574009895324707,-0.51,0.35,0.17,0.64
1.7672882080078125,-0.48,0.75,-0.23,0.91
1.7779831886291504,-0.4,0.74,-0.43,0.94
1.7871379852294922,-0.42,0.7,-0.39,0.9
1.7978811264038086,-0.37,0.76,-0.17,0.86
1.8078289031982422,-0.07,0.66,-0.1,0.67
1.817613124847412,0.19,0.95,-0.11,0.97
1.8282809257507324,0.21,1.73,-0.13,1.74
1.8515000343322754,0.12,2.66,-0.11,2.66
1.8532791137695312,0.03,3.6,0.02,3.6
1.8573079109191895,-0.14,4.42,-0.04,4.42
1.8670439720153809,-0.45,4.92,-0.35,4.95
1.877553939819336,-0.73,5.04,-0.55,5.12
1.8868751525878906,-0.64,5.02,-0.73,5.11
1.8973510265350342,-0.15,4.78,-0.86,4.85
1.907499074935913,0.49,4.81,-0.93,4.92
1.9171380996704102,0.99,5.4,-0.95,5.57
1.9282870292663574,1.23,6.15,-1.09,6.36
1.9507989883422852,1.26,6.99,-1.4,7.23
1.9525771141052246,1.19,8.28,-1.67,8.53
1.9564549922943115,0.73,9.34,-1.9,9.55
1.9669160842895508,0.08,9.81,-2.11,10.03
1.9773211479187012,-0.05,10.33,-2.09,10.53
1.9873590469360352,-0.01,10.62,-1.98,10.8
1.9975190162658691,0.11,10.43,-2.07,10.63
2.00746488571167,0.66,10.39,-2.52,10.71
2.017306089401245,1.46,10.5,-3.22,11.07
2.027254104614258,1.91,10.8,-3.16,11.41
2.0489330291748047,1.68,11.41,-2.86,11.88
2.051321029663086,1.14,12.05,-2.66,12.39
2.056119918823242,0.06,13.32,-2.15,13.49
2.0663809776306152,-1.18,15.34,-1.8,15.49
2.0771641731262207,-1.78,17.98,-1.92,18.16
2.086306095123291,-1.51,19.8,-2.18,19.97
2.096909999847412,-0.07,19.93,-2.81,20.12
2.1066880226135254,2.28,19.87,-3.17,20.25
2.1169090270996094,4.05,20.29,-1.86,20.77
2.126513957977295,3.03,19.71,-0.32,19.94
2.1481430530548096,0.82,17.83,0.55,17.85
2.1500349044799805,-0.52,14.33,0.96,14.37
2.155517101287842,-1.0,10.75,1.71,10.93
2.166064977645874,-1.74,9.02,1.14,9.25
2.175795078277588,-3.68,5.07,-4.23,7.55
2.1859841346740723,-3.11,-2.27,-7.88,8.77
2.1960480213165283,0.76,-7.12,-5.42,8.98
2.205659866333008,2.32,-9.2,-2.7,9.86
2.2157790660858154,0.94,-11.1,-3.27,11.6
2.225728988647461,-0.53,-12.57,-4.22,13.27
2.2480170726776123,-1.06,-14.25,-5.11,15.17
2.2497620582580566,-1.11,-16.22,-4.55,16.88
2.255298137664795,-0.7,-17.0,-3.45,17.36
2.265231132507324,-0.69,-16.5,-2.78,16.74
2.275624990463257,-0.26,-16.44,-3.17,16.74
2.2850542068481445,0.59,-16.51,-3.42,16.87
2.296293020248413,0.96,-15.09,-2.84,15.38
2.306396961212158,1.07,-13.18,-2.39,13.43
2.315432071685791,1.32,-11.69,-1.83,11.9
2.3257131576538086,1.71,-10.47,-0.81,10.63
2.3493971824645996,1.32,-9.04,0.34,9.14
2.351154088973999,0.35,-7.64,0.81,7.69
2.3547492027282715,-0.7,-6.9,0.35,6.94
2.3649790287017822,-1.24,-6.63,-0.57,6.76
2.3754820823669434,-0.99,-6.94,-1.14,7.1
2.3846230506896973,-0.32,-7.97,-1.5,8.11
2.3956310749053955,0.05,-9.16,-1.46,9.27
2.405165195465088,-0.1,-9.99,-1.32,10.07
2.4151649475097656,-0.57,-10.82,-1.76,10.97
2.425852060317993,-0.76,-11.6,-2.32,11.85
2.4488320350646973,-0.29,-12.06,-2.52,12.32
2.451266050338745,0.11,-11.95,-2.54,12.21
2.454066038131714,0.33,-11.42,-2.62,11.72
2.4643611907958984,0.57,-10.79,-2.74,11.14
2.4745168685913086,0.87,-10.37,-2.84,10.78
2.484502077102661,1.19,-9.96,-2.57,10.35
2.4947381019592285,1.32,-9.47,-2.17,9.8
2.504749059677124,1.29,-9.02,-1.96,9.32
2.514370918273926,1.16,-8.64,-1.85,8.91
2.5249149799346924,0.96,-8.51,-1.88,8.76
2.547873020172119,0.74,-8.47,-1.81,8.69
2.549631118774414,0.57,-8.8,-1.95,9.03
2.5536489486694336,0.53,-9.17,-2.07,9.41
