time;gFx;gFy;gFz;TgF
1,250885;-0,0116;0,1319;0,9986;1,007
1,255219;-0,0136;0,1314;0,9929;1,002
1,258970;-0,0182;0,1301;0,9785;0,987
1,263995;-0,0158;0,1292;0,9698;0,978
1,266896;-0,0158;0,1304;0,9640;0,973
1,271022;-0,0168;0,1320;0,9615;0,971
1,274799;-0,0145;0,1345;0,9587;0,968
1,279006;-0,0113;0,1388;0,9619;0,972
1,284779;-0,0075;0,1406;0,9683;0,979
1,286533;-0,0045;0,1416;0,9798;0,990
1,290679;-0,0046;0,1391;0,9898;1,000
1,295009;-0,0049;0,1358;0,9993;1,008
1,298628;-0,0050;0,1330;1,0052;1,014
1,303577;-0,0061;0,1306;1,0062;1,015
1,312780;-0,0053;0,1301;1,0079;1,016
1,313705;-0,0080;0,1304;1,0055;1,014
1,314432;-0,0102;0,1300;1,0029;1,011
1,320411;-0,0107;0,1302;0,9989;1,007
1,325945;-0,0126;0,1301;0,9946;1,003
1,326765;-0,0134;0,1307;0,9866;0,995
1,330639;-0,0148;0,1301;0,9789;0,988
1,334337;-0,0171;0,1317;0,9749;0,984
1,338043;-0,0197;0,1326;0,9705;0,980
1,342261;-0,0178;0,1351;0,9711;0,981
1,346381;0,0010;0,1352;0,9735;0,983
1,350432;-0,0005;0,1327;0,9656;0,975
1,354388;-0,0057;0,1317;0,9706;0,980
1,358309;-0,0019;0,1290;0,9831;0,992
1,364545;-0,0034;0,1252;0,9849;0,993
1,365892;-0,0075;0,1250;0,9818;0,990
1,369936;-0,0067;0,1222;0,9787;0,986
1,374254;-0,0054;0,1239;0,9831;0,991
1,378044;0,0021;0,1263;0,9857;0,994
1,382014;0,0064;0,1271;0,9891;0,997
1,386790;0,0120;0,1288;0,9883;0,997
1,391048;0,0203;0,1294;0,9839;0,993
1,394274;0,0306;0,1275;0,9814;0,990
1,398298;0,0335;0,1277;0,9811;0,990
1,401762;0,0348;0,1268;0,9866;0,995
1,406928;0,0385;0,1246;0,9910;1,000
1,409768;0,0375;0,1230;0,9911;0,999
1,413879;0,0318;0,1220;0,9949;1,003
1,417679;0,0368;0,1228;1,0044;1,013
1,421603;0,0412;0,1235;1,0109;1,019
1,425958;0,0398;0,1219;1,0171;1,025
1,429683;0,0453;0,1205;1,0198;1,028
1,433773;0,0498;0,1181;1,0178;1,026
1,437536;0,0500;0,1161;1,0168;1,025
1,445614;0,0546;0,1161;1,0144;1,022
1,446376;0,0610;0,1144;1,0110;1,019
1,449931;0,0651;0,1176;1,0081;1,017
1,454181;0,0754;0,1243;1,0073;1,018
1,458065;0,0780;0,1345;1,0074;1,019
1,461377;0,0724;0,1393;1,0005;1,013
1,465183;0,0552;0,1423;0,9867;0,998
1,469319;0,0486;0,1406;0,9742;0,986
1,473274;0,0401;0,1346;0,9665;0,977
1,477827;0,0373;0,1345;0,9669;0,977
1,481177;0,0361;0,1324;0,9707;0,980
1,485517;0,0371;0,1312;0,9759;0,985
1,490499;0,0434;0,1325;0,9819;0,992
1,493027;0,0467;0,1323;0,9908;1,001
1,497000;0,0544;0,1346;1,0045;1,015
1,501310;0,0645;0,1346;1,0187;1,030
1,504870;0,0657;0,1315;1,0268;1,037
1,508784;0,0659;0,1302;1,0382;1,048
1,512738;0,0655;0,1262;1,0476;1,057
1,516516;0,0680;0,1224;1,0518;1,061
1,523318;0,0716;0,1214;1,0513;1,061
1,524404;0,0796;0,1205;1,0437;1,054
1,528489;0,0872;0,1228;1,0335;1,044
1,532470;0,0921;0,1273;1,0286;1,041
1,536527;0,0932;0,1320;1,0214;1,034
1,540598;0,0887;0,1317;1,0150;1,027
1,544489;0,0786;0,1291;1,0060;1,017
1,549122;0,0622;0,1220;1,0005;1,010
1,552666;0,0491;0,1147;0,9974;1,005
1,556649;0,0365;0,1070;0,9965;1,003
1,560758;0,0247;0,1046;1,0068;1,013
1,564316;0,0195;0,1057;1,0155;1,021
1,568250;0,0172;0,1085;1,0245;1,030
1,572289;0,0142;0,1103;1,0306;1,037
1,576185;0,0145;0,1124;1,0399;1,046
1,580196;0,0186;0,1160;1,0488;1,055
1,584691;0,0279;0,1224;1,0528;1,060
1,588067;0,0420;0,1260;1,0509;1,059
1,594928;0,0552;0,1300;1,0463;1,056
1,596160;0,0664;0,1334;1,0443;1,055
1,602323;0,0719;0,1323;1,0439;1,055
1,604191;0,0721;0,1318;1,0426;1,053
1,609324;0,0667;0,1280;1,0354;1,045
1,612464;0,0602;0,1225;1,0260;1,035
1,616489;0,0525;0,1204;1,0181;1,027
1,620083;0,0456;0,1203;1,0111;1,019
1,624178;0,0409;0,1239;1,0018;1,010
1,628239;0,0357;0,1275;0,9920;1,001
1,632185;0,0288;0,1312;0,9888;0,998
1,636078;0,0226;0,1333;0,9907;1,000
1,640030;0,0158;0,1348;0,9913;1,001
1,643979;0,0112;0,1365;0,9877;0,997
1,648129;0,0074;0,1351;0,9850;0,994
1,652599;0,0046;0,1328;0,9860;0,995
1,657454;0,0049;0,1345;0,9901;0,999
1,659926;0,0045;0,1316;0,9928;1,002
1,663894;-0,0000;0,1274;0,9910;0,999
1,667846;-0,0027;0,1241;0,9862;0,994
1,673033;-0,0059;0,1225;0,9790;0,987
1,676150;-0,0083;0,1198;0,9718;0,979
1,682217;-0,0122;0,1159;0,9632;0,970
1,683410;-0,0170;0,1139;0,9458;0,953
1,687728;-0,0207;0,1133;0,9328;0,940
1,691812;-0,0268;0,1131;0,9181;0,925
1,695666;-0,0312;0,1140;0,9073;0,915
1,699732;-0,0384;0,1099;0,9027;0,910
1,703602;-0,0447;0,1048;0,9019;0,909
1,707747;-0,0467;0,1003;0,9065;0,913
1,713260;-0,0489;0,0964;0,9196;0,926
1,715616;-0,0469;0,0918;0,9311;0,937
1,719528;-0,0435;0,0882;0,9437;0,949
1,729331;-0,0388;0,0868;0,9659;0,971
1,730226;-0,0325;0,0881;0,9886;0,993
1,731497;-0,0282;0,0865;1,0046;1,009
1,735978;-0,0212;0,0862;1,0198;1,024
1,742223;-0,0143;0,0861;1,0279;1,032
1,743714;-0,0082;0,0838;1,0368;1,040
1,747380;-0,0070;0,0805;1,0392;1,042
1,751471;-0,0086;0,0800;1,0401;1,043
1,756625;-0,0062;0,0821;1,0393;1,043
1,761880;-0,0073;0,0829;1,0369;1,040
1,763216;-0,0163;0,0874;1,0347;1,038
1,768362;-0,0198;0,0910;1,0272;1,031
1,773302;-0,0205;0,0958;1,0180;1,023
1,776499;-0,0197;0,1001;1,0048;1,010
1,779195;-0,0164;0,1032;0,9873;0,993
1,783082;-0,0162;0,1025;0,9704;0,976
1,787104;-0,0190;0,0980;0,9542;0,959
1,791138;-0,0222;0,0973;0,9430;0,948
1,794956;-0,0242;0,0998;0,9289;0,935
1,798784;-0,0236;0,1050;0,9193;0,926
1,802851;-0,0213;0,1117;0,9154;0,922
1,807089;-0,0206;0,1196;0,9144;0,922
1,811118;-0,0242;0,1259;0,9163;0,925
1,814906;-0,0267;0,1294;0,9225;0,932
1,819224;-0,0332;0,1320;0,9343;0,944
1,823392;-0,0408;0,1298;0,9424;0,952
1,828212;-0,0537;0,1219;0,9548;0,964
1,830757;-0,0665;0,1171;0,9745;0,984
1,834962;-0,0721;0,1179;0,9953;1,005
1,842116;-0,0708;0,1208;1,0130;1,023
1,842860;-0,0682;0,1195;1,0238;1,033
1,846458;-0,0658;0,1169;1,0344;1,043
1,850549;-0,0630;0,1149;1,0381;1,046
1,862171;-0,0583;0,1147;1,0338;1,042
1,863045;-0,0567;0,1132;1,0260;1,034
1,863322;-0,0571;0,1131;1,0167;1,025
1,866770;-0,0549;0,1127;1,0059;1,014
1,871033;-0,0580;0,1137;1,0016;1,010
1,874915;-0,0612;0,1136;1,0020;1,010
1,878826;-0,0638;0,1116;0,9978;1,006
1,882241;-0,0680;0,1123;0,9958;1,004
1,886193;-0,0720;0,1127;0,9991;1,008
1,890414;-0,0786;0,1163;1,0057;1,015
1,894511;-0,0853;0,1162;1,0152;1,025
1,898183;-0,0863;0,1134;1,0193;1,029
1,902271;-0,0810;0,1118;1,0213;1,031
1,906316;-0,0707;0,1134;1,0151;1,024
1,910477;-0,0621;0,1137;1,0030;1,011
1,914323;-0,0606;0,1114;0,9997;1,008
1,920425;-0,0621;0,1102;1,0105;1,018
1,923280;-0,0624;0,1115;1,0353;1,043
1,926951;-0,0614;0,1146;1,0588;1,067
1,930165;-0,0617;0,1186;1,0801;1,088
1,934566;-0,0659;0,1167;1,0885;1,097
1,940630;-0,0698;0,1108;1,0881;1,096
1,941965;-0,0778;0,0989;1,0771;1,084
1,947034;-0,0776;0,0891;1,0647;1,071
1,949935;-0,0778;0,0840;1,0445;1,051
1,953718;-0,0771;0,0852;1,0135;1,020
1,958181;-0,0736;0,0894;0,9909;0,998
1,961679;-0,0694;0,0893;0,9822;0,989
1,965520;-0,0631;0,0863;0,9754;0,981
1,969715;-0,0518;0,0831;0,9577;0,963
1,974301;-0,0240;0,0670;0,9236;0,926
1,977896;-0,0178;0,0479;0,9038;0,905
1,981329;-0,0254;0,0276;0,9156;0,916
1,985321;-0,0250;0,0261;0,9483;0,949
1,989575;-0,0130;0,0451;0,9705;0,972
1,993468;-0,0050;0,0577;0,9723;0,974
1,999844;-0,0076;0,0585;0,9979;1,000
2,002613;-0,0117;0,0548;1,0354;1,037
2,008714;-0,0181;0,0517;1,0565;1,058
2,009385;-0,0256;0,0508;1,0577;1,059
2,013508;-0,0331;0,0527;1,0548;1,057
2,017305;-0,0357;0,0553;1,0538;1,056
2,021958;-0,0322;0,0589;1,0530;1,055
2,025329;-0,0280;0,0661;1,0419;1,044
2,029556;-0,0233;0,0742;1,0201;1,023
2,032920;-0,0214;0,0774;1,0023;1,006
2,036954;-0,0217;0,0804;0,9865;0,990
2,041152;-0,0197;0,0777;0,9829;0,986
2,044983;-0,0116;0,0762;0,9892;0,992
2,049266;0,0020;0,0751;1,0010;1,004
2,053157;0,0138;0,0753;1,0052;1,008
2,057054;0,0259;0,0766;1,0027;1,006
2,061474;0,0303;0,0761;0,9966;1,000
2,065186;0,0350;0,0744;0,9869;0,990
2,068847;0,0354;0,0744;0,9864;0,990
2,073336;0,0293;0,0764;0,9822;0,986
2,079179;0,0207;0,0840;0,9612;0,965
2,080626;0,0088;0,0903;0,9280;0,932
2,084666;-0,0005;0,0947;0,8995;0,905
2,088893;-0,0076;0,0930;0,8824;0,887
2,093378;-0,0106;0,0896;0,8789;0,884
2,096944;-0,0084;0,0897;0,8820;0,887
2,100451;-0,0005;0,0919;0,8795;0,884
2,106080;0,0048;0,0960;0,8851;0,890
2,109009;0,0140;0,0969;0,9026;0,908
2,112696;0,0183;0,0934;0,9279;0,933
2,116821;0,0202;0,0878;0,9505;0,955
2,120336;0,0277;0,0804;0,9728;0,976
2,126547;0,0340;0,0788;0,9826;0,986
2,128264;0,0432;0,0738;0,9935;0,997
2,132355;0,0490;0,0709;0,9964;1,000
2,137205;0,0556;0,0703;0,9920;0,996
2,146007;0,0642;0,0721;0,9813;0,986
2,146973;0,0679;0,0704;0,9771;0,982
2,149523;0,0688;0,0668;0,9815;0,986
2,152302;0,0677;0,0640;0,9792;0,984
2,158603;0,0680;0,0620;0,9624;0,967
2,159962;0,0658;0,0550;0,9463;0,950
2,164022;0,0593;0,0484;0,9371;0,940
2,168338;0,0604;0,0464;0,9334;0,937
2,171850;0,0694;0,0427;0,9315;0,935
2,176036;0,0818;0,0418;0,9214;0,926
2,179645;0,0985;0,0357;0,8994;0,905
2,184090;0,0937;0,0262;0,8891;0,894
2,188258;0,0801;0,0216;0,8860;0,890
2,191656;0,0658;0,0243;0,8804;0,883
2,195932;0,0576;0,0335;0,8819;0,884
2,199354;0,0481;0,0483;0,8856;0,888
2,203390;0,0367;0,0557;0,8849;0,887
2,207655;0,0221;0,0601;0,8784;0,881
2,211367;0,0031;0,0623;0,8685;0,871
2,215335;-0,0072;0,0655;0,8566;0,859
2,219802;-0,0066;0,0692;0,8439;0,847
2,223639;0,0019;0,0754;0,8288;0,832
2,227441;0,0117;0,0787;0,8191;0,823
