time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
4,098186;6,5834;1,5128;19,6616;20,790
4,107970;5,0642;5,0031;19,5534;20,809
4,117776;1,5718;7,7297;18,2945;19,923
4,132471;-2,1361;9,6355;12,9169;16,256
4,138666;-3,5192;8,5468;11,1792;14,505
4,156009;-4,0334;5,5615;13,5770;15,216
4,158563;-4,2862;2,0618;16,2834;16,964
4,167999;-3,7676;0,1985;16,1882;16,622
4,178244;-2,7776;-1,2901;15,3496;15,652
4,187637;-1,6761;-2,0941;16,2025;16,423
4,198124;-0,0408;-2,8339;16,6937;16,933
4,209168;1,0928;-3,5587;15,1395;15,590
4,217705;1,8885;-3,6979;13,1885;13,827
4,226805;2,4686;-3,7823;12,3552;13,155
4,237115;2,7347;-4,0039;11,1169;12,128
4,249466;2,7525;-4,1057;9,2957;10,528
4,267796;2,2136;-3,8519;7,0525;8,335
4,276365;1,2130;-3,3834;4,8195;6,012
4,281376;0,2984;-3,1328;2,9237;4,296
4,286996;-0,4251;-3,1261;1,8041;3,634
4,296236;-1,1763;-2,7859;2,3772;3,847
4,307238;-1,4385;-2,2271;1,5988;3,096
4,318861;-1,4296;-1,6062;1,4292;2,582
4,327218;-1,0974;-1,3737;1,0138;2,030
4,336287;-0,9586;-0,6482;-0,6293;1,317
4,346792;-0,9879;0,0507;-3,2556;3,403
4,356496;-1,0291;0,5380;-5,6995;5,817
4,365826;-0,8739;0,9563;-6,9642;7,084
4,376093;-0,9698;1,1588;-7,3079;7,462
4,385874;-1,1418;1,1056;-8,2862;8,437
4,397597;-0,8417;0,8947;-9,5193;9,598
4,414726;-0,8433;1,0050;-8,7111;8,809
4,416184;-1,8445;1,2835;-7,9788;8,289
4,430441;-2,5950;1,9373;-7,8537;8,495
4,435423;-2,5303;2,6336;-7,9041;8,707
4,446071;-1,7352;2,8642;-7,4154;8,137
4,455805;-0,9950;3,3121;-6,9851;7,794
4,466734;-1,0206;4,0162;-6,0347;7,320
4,475580;-1,3765;3,7728;-5,4469;6,767
4,486271;-0,8755;2,9996;-5,1143;5,993
4,495276;1,4392;1,5704;-2,8113;3,527
4,506952;2,7243;-0,1374;-1,0875;2,937
4,514851;2,2871;-0,4134;-0,5029;2,378
4,525291;0,6173;-0,1604;-1,0981;1,270
4,534777;-0,4142;-0,1860;-2,4694;2,511
4,549354;-1,0730;-0,4305;-3,5256;3,710
4,571723;-1,7686;-0,8949;-2,4516;3,153
4,573240;-1,3204;-1,6080;0,8701;2,255
4,576018;-0,2835;-2,0307;2,8689;3,526
4,586408;0,3413;-2,3350;2,8579;3,706
4,596010;0,5930;-1,8607;1,5629;2,501
4,606637;0,1477;-1,8828;0,6517;1,998
4,614166;0,1209;-1,5923;0,9870;1,877
4,624481;1,1443;-1,3761;0,3434;1,822
4,634104;1,2964;-1,2006;-0,7887;1,935
4,644837;1,7592;-1,0366;-2,1731;2,982
4,654487;0,2526;-0,8572;-2,6847;2,830
4,665426;-0,2353;-0,6463;-2,8207;2,903
4,680688;0,0623;-0,6280;-2,8699;2,938
4,685051;0,1430;-0,6015;-2,8579;2,924
4,702341;-0,0380;-0,3708;-2,8763;2,900
4,712387;-0,2344;-0,2505;-2,9352;2,955
4,715243;-0,0130;-0,2196;-2,8448;2,853
4,724052;0,3484;-0,2528;-2,2390;2,280
4,733603;0,7256;-0,1629;-1,7121;1,867
4,744033;1,2298;0,1226;-1,0099;1,596
4,754301;1,1379;0,1047;-0,6298;1,305
4,763173;0,9454;0,2721;-0,8768;1,318
4,774331;0,8359;0,3736;-1,4656;1,728
4,783096;0,9269;0,3695;-1,3323;1,665
4,793270;1,1004;0,2969;-0,5909;1,284
4,806150;1,0665;0,2930;0,1194;1,112
4,813529;1,0628;0,2230;0,4762;1,186
4,833305;1,0231;0,1980;0,6084;1,207
4,835067;0,7019;0,0031;0,6039;0,926
4,854696;0,4617;-0,0087;0,8060;0,929
4,856368;0,3223;-0,0166;0,6858;0,758
4,862278;0,2931;-0,1494;0,0867;0,340
4,873259;0,2942;-0,1676;-0,5409;0,638
4,884047;0,1975;-0,0874;-0,6682;0,702
4,892067;0,2062;-0,0342;-0,3371;0,397
4,902141;0,4242;-0,0072;-0,0947;0,435
4,912249;0,3750;-0,0818;-0,3417;0,514
4,922767;0,2069;-0,0637;-0,8030;0,832
4,931999;0,1866;0,0549;-1,4019;1,415
4,942504;0,2292;0,1637;-1,8730;1,894
4,951674;0,0723;0,1941;-1,7088;1,721
4,963241;-0,0583;0,2127;-1,4385;1,455
4,984027;-0,1007;0,1218;-1,1703;1,181
4,986401;0,1337;0,1627;-0,9328;0,956
4,998489;0,2757;0,2553;-0,7940;0,878
5,001808;0,3202;0,3907;-0,5287;0,731
5,014628;0,3758;0,4121;-0,2445;0,609
5,022818;0,7072;0,4752;0,2056;0,876
5,033347;0,7364;0,3128;0,4500;0,918
5,042324;0,5151;0,2270;0,6361;0,849
5,051076;0,4588;0,3229;0,3821;0,679
5,060785;0,3688;0,3185;0,3540;0,602
5,072661;0,3748;0,2349;0,4241;0,613
5,081260;0,6224;0,2084;0,2493;0,702
5,106642;0,7092;0,1137;0,1626;0,736
5,110465;0,6743;0,0981;0,4482;0,816
5,111069;0,7081;0,0720;0,5576;0,904
5,122598;0,7440;0,0882;0,3548;0,829
5,136788;0,6563;0,0834;0,0054;0,662
5,141331;0,4145;0,0266;-0,2939;0,509
5,165523;0,3018;0,0401;-0,5349;0,615
5,166356;0,3060;-0,0220;-0,7766;0,835
5,173801;0,3111;0,0162;-1,0875;1,131
5,179851;0,1695;0,0045;-0,7240;0,744
5,190022;0,0784;0,0283;-0,3619;0,371
5,200643;-0,1397;-0,0469;-0,0193;0,149
5,210324;-0,0331;0,0105;-0,2442;0,247
5,219673;0,1094;-0,1239;-0,3893;0,423
5,229482;-0,1210;-0,0868;-0,8371;0,850
